City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Cherskiy,RU,2020-08-16 18:52:43,68.75,161.3,40.6,77,94,12.93
159,Port Hedland,AU,2020-08-16 18:52:43,-20.32,118.57,66.2,100,0,8.05
160,The Valley,AI,2020-08-16 18:52:43,18.22,-63.06,89.6,70,40,17.22
161,Xingyi,CN,2020-08-16 18:52:43,24.19,102.82,62.49,99,100,2.35
162,Kupang,ID,2020-08-16 18:52:44,-10.17,123.58,72.32,80,4,4.32
163,Inhambane,MZ,2020-08-16 18:52:44,-23.86,35.38,70.3,78,27,13.2
164,Bandarbeyla,SO,2020-08-16 18:52:44,9.49,50.81,75.7,80,100,31.5
165,Kindu,CD,2020-08-16 18:52:45,-2.95,25.95,79.95,56,100,2.15
166,Imbituba,BR,2020-08-16 18:50:18,-28.24,-48.67,64.4,59,90,5.82
167,Lagoa,PT,2020-08-16 18:52:45,39.05,-27.98,74.17,86,100,26.73
168,Mayo,US,2020-08-16 18:52:46,38.89,-76.51,72.0,86,90,9.17
169,Marsa Matruh,EG,2020-08-16 18:52:46,31.35,27.25,78.8,83,20,8.05
170,Fort-Shevchenko,KZ,2020-08-16 18:52:46,44.51,50.26,69.64,52,0,7.2
171,Longhua,CN,2020-08-16 18:52:46,23.61,114.19,76.23,91,22,0.58
172,Basse,DE,2020-08-16 18:52:46,52.55,9.51,78.01,65,75,5.82
173,Lodingen,NO,2020-08-16 18:52:47,68.41,16.0,48.2,87,75,16.11
174,Ust-Kuyga,RU,2020-08-16 18:52:47,70.02,135.6,38.16,88,100,3.0
175,San Patricio,MX,2020-08-16 18:52:47,19.22,-104.7,87.8,74,75,9.86
176,Cowra,AU,2020-08-16 18:52:47,-33.83,148.68,39.0,98,100,1.99
177,Zhicheng,CN,2020-08-16 18:52:48,30.3,111.5,82.99,82,0,1.86
178,Labuhan,ID,2020-08-16 18:52:48,-6.88,112.21,75.9,88,1,8.81
179,Chapais,CA,2020-08-16 18:52:48,49.78,-74.85,78.8,41,20,11.41
180,Kieta,PG,2020-08-16 18:52:48,-6.22,155.63,77.18,79,0,3.38
181,Kaitangata,NZ,2020-08-16 18:52:49,-46.28,169.85,44.01,84,62,1.99
182,Barcelos,PT,2020-08-16 18:52:49,41.54,-8.62,66.2,93,90,13.87
183,Poum,NC,2020-08-16 18:52:49,-20.23,164.02,73.36,85,69,20.11
184,Santa Cruz Do Sul,BR,2020-08-16 18:52:07,-29.72,-52.43,62.69,55,0,4.34
185,Bambous Virieux,MU,2020-08-16 18:52:50,-20.34,57.76,71.6,68,40,13.87
186,Krasnoarmeysk,RU,2020-08-16 18:52:50,51.02,45.7,63.0,47,0,8.21
187,Bredasdorp,ZA,2020-08-16 18:52:50,-34.53,20.04,46.4,70,100,5.82
188,Saldanha,ZA,2020-08-16 18:52:51,-33.01,17.94,50.0,81,53,1.12
189,Vila Velha,BR,2020-08-16 18:49:00,-20.33,-40.29,82.4,69,20,17.22
190,Varniai,LT,2020-08-16 18:52:51,55.74,22.36,71.6,56,0,9.17
191,Narodychi,UA,2020-08-16 18:52:51,51.2,29.08,63.41,73,0,4.18
192,Kitgum,UG,2020-08-16 18:52:51,3.28,32.89,68.49,91,53,2.84
193,Nioro,GM,2020-08-16 18:52:52,13.35,-15.75,84.25,80,74,6.49
194,Fuyang,CN,2020-08-16 18:52:52,32.9,115.82,80.06,82,72,5.91
195,Avarua,CK,2020-08-16 18:52:52,-21.21,-159.78,71.6,64,23,6.93
196,Hendek,TR,2020-08-16 18:52:52,40.8,30.75,69.8,73,20,3.36
197,Pevek,RU,2020-08-16 18:52:52,69.7,170.31,41.76,82,0,0.45
198,East London,ZA,2020-08-16 18:52:47,-33.02,27.91,55.69,57,2,16.93
199,Lavrentiya,RU,2020-08-16 18:52:53,65.58,-171.0,52.61,61,100,2.08
200,Krasnolesnyy,RU,2020-08-16 18:52:53,51.88,39.59,57.2,93,31,2.24
201,Lebu,CL,2020-08-16 18:52:53,-37.62,-73.65,50.11,81,100,5.59
202,Antalaha,MG,2020-08-16 18:52:53,-14.9,50.28,68.31,87,75,6.49
203,Shingu,JP,2020-08-16 18:52:54,33.73,135.98,79.25,73,14,4.29
204,Eckernforde,DE,2020-08-16 18:52:54,54.47,9.83,79.0,71,42,5.01
205,Ust-Nera,RU,2020-08-16 18:52:54,64.57,143.2,36.93,79,0,5.97
206,Skibbereen,IE,2020-08-16 18:52:54,51.55,-9.27,60.8,93,75,3.36
207,Tahe,CN,2020-08-16 18:52:55,52.33,124.73,54.34,92,100,2.28
208,Indian Head,US,2020-08-16 18:52:55,38.6,-77.16,75.2,73,75,3.36
209,Chokurdakh,RU,2020-08-16 18:52:55,70.63,147.92,39.43,95,100,11.05
210,Tuy Hoa,VN,2020-08-16 18:52:55,13.08,109.3,78.78,79,100,6.31
211,Manoel Urbano,BR,2020-08-16 18:52:55,-8.84,-69.26,99.23,28,15,4.25
212,Rio Gallegos,AR,2020-08-16 18:52:22,-51.62,-69.22,41.0,48,20,33.33
213,Tromso,NO,2020-08-16 18:52:56,69.65,18.96,46.4,87,75,6.93
214,Belaya Gora,RU,2020-08-16 18:52:56,68.53,146.42,37.08,87,71,9.37
215,Aklavik,CA,2020-08-16 18:52:56,68.22,-135.01,51.8,87,90,3.36
216,Padang,ID,2020-08-16 18:52:56,-0.95,100.35,77.23,79,62,4.94
217,Kautokeino,NO,2020-08-16 18:52:57,69.01,23.04,44.37,78,100,9.57
